Cadenzen zu Classischen Pianoforte-Concerten	
Cahier	
Cahier de musique	
Cahier de musique inédite. Supplément à la revue internationale de musique	
Cahiers d'analyse et de formation musicale	
Cahiers de musique	
Cahiers de musique : 118 MO	Cahiers de musique ; 118 MO
Cahiers du Gram	
Cahiers Maurice Ravel	
Cahiers van het IvOK	
California studies in 19th century music	
Cambridge companions to music	Cambridge Companions to Music
Cambridge Handbooks to the historical performance of music	
Cambridge musical texts and monographs	Cambridge Musical Texts and Monographs
Cambridge Musical Texts and Monographs	
Cambridge Music Handbooks	
Cambridge Opera Handbooks	
Cambridge studies in music theory and analysis	Cambridge Studies in Music Theory and Analysis
Cambridge Studies in Music Theory and Analysis	
Cambridge Studies in Opera	
Camera	
Camerata Flauto Amadeus	
Canti di Cielo	Canti di cielo
Canti di terra	
Canti di Terra	Canti di terra
Cantio Sacra	Cantio sacra
Cantus 21	
Canzone, Suite, Sonata	
Capella Antiqua : Musik aus Mittelalter und Renaissance	
Capolavori musicali dei secoli XVII° e XVIII°	
Carl Fischer Chamber Music Edition	
Carl Fischer Music Library	
Carl Fischer's Music Library	Carl Fischer Music Library
Carl Loewe's berühmte Balladen und Lieder	
Carl Loewes Werke : Gesamtausgabe der Balladen, Legenden, Lieder und Gesänge für eine Singstimme	
Carl Philipp Emanuel Bach Konzepte	
Carl-Philipp-Emanuel-Bach-Konzepte	Carl Philipp Emanuel Bach Konzepte
Carl Philipp Emanuel Bach : the Complete Works	
Carnet : Performing Arts in the Netherlands and Flanders = L' art du spectacle aux Pays-Bas et en Flandre	Carnet : Performing Arts in the Netherlands and Flanders
Carnets de Madame E. [Eugénie?] de Baillon	Carnets de Madame E. de Baillon
Cartoon & Satire [= C&S]	Cartoon & Satire
Casual Band	
Cataloghi di Fondi Musicali Italiani	
Catalogi redivivi : a reprint series of Dutch auction and stock catalogues from the XVIIth and XVIIIth centuries	
Catalogi van de muziekbibliotheek en de collectie muziekinstrumenten	
Catálogos : 1-2	Catálogos ; 1-2
Catalogos de Compositores Espanoles	Catàlogos de Compositores Espanoles
Catàlogos de Compositores Espanoles	
Catalogue des expositions organisées à la Bibliothèque royale Albert Ier	
Catalogue thématique	
Catalogue thématique des morceaux détachés	
Catalogue thématique des morceaux détachés, avec accomp.t de piano	Catalogue thématique des morceaux détachés
Célèbre Collection Pianino : Chefs-d'oeuvre de la musique	
Célèbres compositions pour mandoline et piano	
Célèbres danses hongroises	
Celesti Fiori	
Cello-Bibliothek	
Centrale Openbare Bibliotheek Antwerpen Publikaties	
Centre d'etudes de la musique française aux XVIIIe et XIXe siecles, Université de Paris-Sorbonne, Bibliothéque Nationale	
Centre d' études supérieures de la Renaissance	
CERA Bank Aquarius Nieuwsbrief	
Ceska hudební minulost	
Chamber Music	
Chamber Music for Balalaika and Piano	
Chamber Music of the Seventeenth Century	
Chamber Music Series	
Chansonnetten & Monologen van Jan De Baets Brusselsche Volkszanger	
Chansonnettes	
Chansons	
Chansons : avec accompagnement de piano	
Chansons crépusculaires	
Chansons d'Amour de la Vieille Chine	
Chansons de Jacques-La-Terre	
Chansons de village	
Chansons douces	
Chansons parisiennes	
Chantes de Kurpie	
Chants de la vie intérieure	
Chants du Nord : mélodies scandinaves	
Chants Enfantins	
Chants et danses de la mort	
Chants et morceaux : pour violon et piano : complément au IVe cahier de la méthode	
Chants nationaux	
Chants Nationaux pour le Piano	
Chefs-d' oeuvre classiques de l' opéra français	Chefs-d'oeuvre classiques de l'opéra français
Chefs-d' Oeuvre classiques de l' Opéra Français	Chefs-d'oeuvre classiques de l'opéra français
Chefs-d'oeuvre de l'opéra français	Chefs-d'oeuvre classiques de l'opéra français
Chefs-d'oeuvre des grands maitres : opéras célèbres	
Chefs-d'oeuvre des grands maitres opéras célèbres	Chefs-d'oeuvre des grands maitres : opéras célèbres
Chester Library	
Chester Series	
Chester String Series	
Chigiana	
Chinese Cultuur	
Chinesische Klaviermusik für Kinder = Chinese Piano Music for Children	
Chloe : Beihefte zum Daphnis	
Choeurs à quatre voix d' hommes sans accompagnement	
Choeurs pour distribution de prix	
Choeurs pour quatre voix d' hommes sans accompagnement	
Choeurs pour voix d'hommes	
Choix de Danses pour Piano	
Choral collection : SATB - SSAA - SAT	
Choral Method	
Choral Music	
Choral Programme Series	
Chor Archiv	
Chor-Bibliothek	
Christoph Willibald Gluck Gedenkjahr 1987	
Claassen-Musikbibliothek	
Clarendon paperbacks	Clarendon Paperbacks
Clarendon Paperbacks	
Clarinet Choir Collection	
Clarinet Choir Series	
Clarinet = Klarinette	
Clarinet Library	
Clarinet Library = Klarinetten - Bibliothek	Clarinet Library
Clarinet Library = Klarinetten Bibliothek	Clarinet Library
Clarinet Library = Klarinetten-Bibliothek	Clarinet Library
Clarinet Quartet Series	
Classe des arts : collection in-4	
Classica	
Classical and Standard Pianoforte Music	
Classic Archive	
Classic texts in music education	
Classiker-Ausgabe	
Classique essai	
Classique. Histoire	
Classiques Hachette de la musique	
Classiques modernes du piano	
Classiques modernes du piano : oeuvres contemporaines	
Clavecinistes européens du XVIIIe siècle	
Clavecinistes français du XVIIIe siècle	
Clavichord International	
Clavier-Concerte alter und neuer Zeit	
Clavis Monumentorum Musicorum Regni Bohemiae	
Close Harmony	
CMP manuscript series	
Colección compositores bolivianos	
Colección Fusas Confusas	
Coleccion Opera Omnia	
Collana editoriale [dell'] Associazione Clavicembalistica Bolognese	
Collected Works in Forty-Two Volumes	
Collected writings of the Orpheus Institute	Collected Writings of the Orpheus Instituut
Collected Writings of the Orpheus Institute	Collected Writings of the Orpheus Instituut
Collected writings of the Orpheus Instituut	Collected Writings of the Orpheus Instituut
Collectie voor akkordeon	
Collectio Cathedralis	
Collection Actes de colloque : mémoire de la Classe des Arts	
Collection Andrieu frères	
Collection Anne Ricquebourg	
Collection Archives Erik Satie	
Collection Betho Davezac	
Collection biographique	
Collection CD Facsimilés. Série A : Manuscrits	
Collection CD Facsimilés. Série B : Sonates	
Collection CD Facsimilés. Série B : Sonates, volume B1	Collection CD Facsimilés. Série B : Sonates
Collection CD Facsimilés. Série C : Musique de Chambre	
Collection Claude Crousier. Musique pour ensembles	
Collection Claude Delangle	
Collection Complète des Oeuvres composés pour le piano	
Collection complète des opéras de Grétry	
Collection Complette des oeuvres de piano	
Collection Costallat : à Monsieur J. Hrimaly	Collection Costallat
Collection David Walter	
Collection de chansonettes choisies	
Collection de chansons tziganes : pour une voix avec accompagnement de piano (paroles russes-françaises)	Collection de chansons tziganes : pour une voix avec accompagnement de piano
Collection de choeurs [français & latins] sans accompagnement pour servir à l' étude du chant d' ensemble dans les Conservatoires et Écoles de musique	
Collection de choeurs sans accompagnement pour servir à l' étude du chant d' ensemble dans les Conservatoires et Écoles de musique	
