BARTOS, Frantisek;;
BARTOS, Josef;;
BARTSCH, Charles;;
BéRWOLF, Louis;;
BASELLI, Jos;;
BASELT, Bernd;;
BASEMANS, Els;;
BASEVI, Abramo;;
BASEVI,A.;BASEVI, Abramo;
BASILE, Enrico;;
BASILI, Francesco;;
BASILY, Fr.;;
BASKIN-WATSON, Pamela;;
BASSANI, Giovanni Battista;;
BASSANO, Giovanni;;
BASSETT, Leslie;;
BASSO, Alberto;;
BASTIAENS, Luk;;
BASTIAENS, Rik;;
BASTIN, Jules;;
BASTIN, Maurice;;
BASTON, Josquin;;
BAT'A, Jan;;
BATAILLIE, Luc;;
BATIFORT;;
BATIFORT, Octave;;
BATKA, Richard;;
BATOR, Victor;;
BATTA, Andr†s;;
BATTA, Marie;;
BATTAILLE-HENRI;;
BATTEN, Reginald;;
BATTISTE, Edouard;;
BATTISTELLI, Giorgio;;
BATTMANN, Jacques-Louis;;
BAUCK, Matthias Andreas;;
BAUDELAIRE, Charles;;
BAUDERUE, J.;;
BAUDIOT, Charles;;
BAUDOIN, Philippe;;
BAUDONCK, L. J.;;
BAUDRON, Antoine Laurent;;
BAUER , Aloys;BAUER, Alois;
BAUER, Alois;;
BAUER, Aloys;BAUER, Alois;
BAUER, Conrad;;
BAUER, Dietrich;;
BAUER, Jeffrey Peter;;
BAUER, Jerzy;;
BAUER, Johannes;;
BAUER, Konrad;;
BAUER, Oswald Georg;;
BAUER, Uwe;;
BAUGNIET;;??
BAUGNIET, Charles;;??
BAUGNIT;;??
BAUGNNIET;;??
BAUMANN, Herbert;;
BAUMANN, Max;;
BAUMGARTEN, Karl Friedrich;;
BAUMGARTNER, Wilhelm;;
BéUMKER, WIlhelm;;
BAUR, JÅrg;;
BAUR, JÅrgen;;
BAUSANO, William;;
BAUSSART, Aryl;;
BAUSSART, Aryl.;BAUSSART, Aryl;
BAUSSART, P.;;
BAUWENS, l'abbÇ B.;;
BAX, Arnold;;
BAXTER, Les;;
BAXTRESSER, Jeanne;;
BAY, Francis;;
BAYARD;;
BAYARD, Jean-Franáois;;
BAYER, Josef;;
BAYLE, Laurent;;
BAYLE, Mr;;
BAYLEY, Amanda;;
BAYLOR, Eugäne;;
BAYLY, Anselm;;
BAYNES, Sydney;;
BAYTELMAN, Pola;;
BAZELAIRE, Paul;;
BAZIN, F.;BAZIN, Franáois;
BAZIN, Franáois;;
BAZZINI, Antonio;;
BAZZONI, G.;;
BEACH, Amy;;
BEAM, Pol;;
BEANDA, Franz;;
BEASER, Robert;;
BEAT, Janet;;
BEATTIE, James;;
BEAUCAMP, Albert;;
BEAULIEU, D.;;
BEAUMARCHAIS, Jean-Pierre de;;
BEAUMEZ, Raoul;;
BEAUMONT, Antony;;
BEAUPAIN, CÇcile;;
BEAUPLAN, A. de;BEAUPLAN, AmÇdÇe de;
BEAUPLAN, AmÇdÇe de;;
BEAUPLAN, M. A. de;BEAUPLAN, AmÇdÇe de;
BEAUQUIER, Charles;;
BEAUSSANT, Philippe;;
BEAUVOIR;;
BEBBINGTON, Warren;;
BECAUD, Gibert;BECAUD, Gilbert;
BECAUD, Gilbert;;
BECCE, Giuseppe;;
BECERRA-SCHMIDT, Gustavo;;
BECHET, Sidney;;
BECK, Conrad;;
BECK, Franz;BECK, Franz Ignaz;
BECK, Franz Ignaz;;
BECK, Hermann;;
BECK, Herrmann;;??
BECK, John H.;;??
BECKER;;
BECKER, BOB;;
BECKER, C. F.;BECKER, Carl Ferdinand;
BECKER, Carl Ferdinand;;
BECKER, Charles;;
BECKER, Cornelius;;
BECKER, George;;
BECKER, GÅnter;BECKER, GÅnther;
BECKER, GÅnther;;
BECKER, Hans-JÅrgen;;
BECKER, Heinz;;
BECKER, Henri;;
BECKER, John J.;;
BECKER, Reinhold;;
BECKMAN, J. F. G.;;
BECKMANN, Klaus;;
BECQUART, Gaston;;
BECQUART, Gaston.;BECQUART, Gaston;
BECQUES, Julien;;
BEDAE, Venerabilis;;
BEDIER, Joseph;;
BEDOS DE CELLES, Franáois;;
BEE, Dave;BEE, David;
BEE, David;;
BEEBE, Ellen;;
BEECHER, F.;;
BEECKMAN, Eug.;;
BEECKMANS, Laurent;;
BEEKENS, A.;;
BEEKUM, Jan Van;;
BEEN, J.Z.;;
BEER, Johann;;
BEESON, Jack;;
BEETHOVEN;;xxxx
BEETHOVEN, L. van;BEETHOVEN, Ludwig van;
BEETHOVEN, Ludwig;BEETHOVEN, Ludwig van;
BEETHOVEN, Ludwig van;;
BEETHOVEN, Ludwig von;BEETHOVEN, Ludwig van;
BEETHOVEN, VAN. L.;BEETHOVEN, Ludwig van;
BEETHOVEN,Ludwig van;BEETHOVEN, Ludwig van;
BEEYHOVEN Ludwig van,;BEETHOVEN, Ludwig van;
BEFFROY DE REIGNY, Louis Abel;;
BEGALIEV, Muratbek;;
